/*********************************************
 * OPL 12.7.1.0 Data
 * Author: PC
 * Creation Date: 2017年11月23日 at 上午10:01:10
 *********************************************/
NumNodes = 15;

NumDemands = 210;

NumNFs = 3;

NFs = {NF1, NF2, NF3};

NumVM = 3;

VMtroughput = #[
	NF1 : 10000000
	NF2 : 10000000
	NF3 : 10000000
]#;

Arcs = {
   // from, to, capacity
   <  0,    5,  10000 >,
   <  0,    6,  10000 >,
   <  0,    7,  10000 >,
   <  1,    2,  10000 >,
   <  1,    4,  10000 >,
   <  1,    5,  10000 >,
   <  2,    4,  10000 >,
   <  2,    7,  10000 >,
   <  3,    4,  10000 >,
   <  3,    5,  10000 >,
   <  5,    12, 10000 >,
   <  6,    9,  10000 >,
   <  6,    13, 10000 >,
   <  7,    8,  10000 >,
   <  7,    14, 10000 >,
   <  8,    9,  10000 >,
   <  8,    11, 10000 >,
   <  8,    14, 10000 >,
   <  9,    11, 10000 >,
   <  10,   12, 10000 >,
   <  10,   13, 10000 >,
   <  12,   13, 10000 >,
  
 
   //reverse
   <  5,    0,  10000 >,
   <  6,    0,  10000 >,
   <  7,    0,  10000 >,
   <  2,    1,  10000 >,
   <  4,    1,  10000 >,
   <  5,    1,  10000 >,
   <  4,    2,  10000 >,
   <  7,    2,  10000 >,
   <  4,    3,  10000 >,
   <  5,    3,  10000 >,
   <  12,   5,  10000 >,
   <  9,    6,  10000 >,
   <  13,   6,  10000 >,
   <  8,    7,  10000 >,
   <  14,   7,  10000 >,
   <  9,    8,  10000 >,
   <  11,   8,  10000 >,
   <  14,   8,  10000 >,
   <  11,   9,  10000 >,
   <  12,   10, 10000 >,
   <  13,   10, 10000 >,
   <  13,   12, 10000 >,
};
   
   Demands = {
   //id, src, dest, supply NFC
   <  1,  0,   1,   5981, #[NF1:1 NF2:2 NF3:3]#  >,
   <  2,  0,   2,   816,  #[NF1:1 NF2:2 NF3:3]#  >,
   <  3,  0,   3,   563,  #[NF1:1 NF2:2 NF3:3]#  >,
   <  4,  0,   4,   431,  #[NF1:1 NF2:2 NF3:3]#  >,
   <  5,  0,   5,   1592, #[NF1:1 NF2:2 NF3:3]# >,
   <  6,  0,   6,   444,  #[NF1:1 NF2:2 NF3:3]# >,
   <  7,  0,   7,   576,  #[NF1:1 NF2:2 NF3:3]# >,
   <  8,  0,   8,   491,  #[NF1:1 NF2:2 NF3:3]# >,
   <  9,  0,   9,   563,  #[NF1:1 NF2:2 NF3:3]# >,
   <  10, 0,   10,  252,  #[NF1:1 NF2:2 NF3:3]# >,
   <  11, 0,   11,  695,  #[NF1:1 NF2:2 NF3:3]# >,
   <  12, 0,   12,  324,  #[NF1:1 NF2:2 NF3:3]# >,
   <  13, 0,   13,  1556,  #[NF1:1 NF2:2 NF3:3]# >,
   <  14, 0,   14,  695,  #[NF1:1 NF2:2 NF3:3]# >,
   <  15, 1,   0,   7132,  #[NF1:1 NF2:2 NF3:3]# >,
   <  16, 1,   2,   2644,  #[NF1:1 NF2:2 NF3:3]# >,
   <  17, 1,   3,   2239,  #[NF1:1 NF2:2 NF3:3]# >,
   <  18, 1,   4,   755,  #[NF1:1 NF2:2 NF3:3]# >,
   <  19, 1,   5,   6102,  #[NF1:1 NF2:2 NF3:3]# >,
   <  20, 1,   6,   1832,  #[NF1:1 NF2:2 NF3:3]# >,
   <  21, 1,   7,   4930,  #[NF1:1 NF2:2 NF3:3]# >,
   <  22, 1,   8,   253,  #[NF1:1 NF2:2 NF3:3]# >,
   <  23, 1,   9,   1952,  #[NF1:1 NF2:2 NF3:3]# >,
   <  24, 1,   10,  755,  #[NF1:1 NF2:2 NF3:3]# >,
   <  25, 1,   11,  1090,  #[NF1:1 NF2:2 NF3:3]# >,
   <  26, 1,   12,  563,  #[NF1:1 NF2:2 NF3:3]# >,
   <  27, 1,   13,  419,  #[NF1:1 NF2:2 NF3:3]# >,
   <  28, 1,   14, 1855,  #[NF1:1 NF2:2 NF3:3]# >,
   <  29, 2,   1,  977,  #[NF1:1 NF2:2 NF3:3]# >,
   <  30, 2,   1,  3151,  #[NF1:1 NF2:2 NF3:3]# >,
   <  31, 2,   3,  312,  #[NF1:1 NF2:2 NF3:3]# >,
   <  32, 2,   4,  240,  #[NF1:1 NF2:2 NF3:3]# >,
   <  33, 2,   5,  252,  #[NF1:1 NF2:2 NF3:3]# >,
   <  34, 2,   6,  38,  #[NF1:1 NF2:2 NF3:3]# >,
   <  35, 2,   7,  1149,  #[NF1:1 NF2:2 NF3:3]# >,
   <  36, 2,   8,  85,  #[NF1:1 NF2:2 NF3:3]# >,
   <  37, 2,   9,  97,  #[NF1:1 NF2:2 NF3:3]# >,
   <  38, 2,   10, 97,  #[NF1:1 NF2:2 NF3:3]# >,
   <  39, 2,   11, 145,  #[NF1:1 NF2:2 NF3:3]# >,
   <  40, 2,   12, 85,  #[NF1:1 NF2:2 NF3:3]# >,
   <  41, 2,   13, 37,  #[NF1:1 NF2:2 NF3:3]# >,
   <  42, 2,   14, 431,  #[NF1:1 NF2:2 NF3:3]# >,
   
   <  43, 3,   0, 678,  #[NF1:1 NF2:2 NF3:3]# >,
