/*********************************************
 * OPL 12.7.1.0 Data
 * Author: PC
 * Creation Date: 2017年12月9日 at 下午9:21:06
 *********************************************/
NumNodes = 12;

NumDemands = 30;

NumNFs = 3;


Arcs = {
   // from, to, capacity
   <  0,    10,  10000 >,
   <  0,    2,  10000 >,
   <  1,    2,  10000 >, 
   <  1,    7,  10000 >,
   <  1,    10,  10000 >,
   <  2,    9,  10000 >,
   <  3,    4,  10000 >,
   <  3,    6,  10000  >,
   <  3,    11,  10000 >,
   <  4,    8,  10000  >,
   <  4,    10,  10000 >,
   <  5,    8,  10000 >,
   <  5,    10,  10000 >,
   <  6,    10,  10000 >,
   <  6,    11,  10000 >,
   <  7,    9,  10000 >,
   <  7,    11,  10000 >,
   <  0,    5,  10000 >,
   //reverse
   <  10,   0,  10000 >,
   <  2,    0,  10000 >,
   <  2,    1,  10000 >, 
   <  7,    1,  10000 >,
   <  10,   1,  10000 >,
   <  9,    2,  10000 >,
   <  4,    3,  10000 >,
   <  6,    3,  10000  >,
   <  11,   3,  10000 >,
   <  8,    4,  10000  >,
   <  10,   4,  10000 >,
   <  8,    5,  10000 >,
   <  10,   5,  10000 >,
   <  10,   6,  10000 >,
   <  11,   6,  10000 >,
   <  9,    7,  10000 >,
   <  11,   7,  10000 >,
   <  5,    0,  10000 >,

};

NFs = {NF1, NF2, NF3};

NumVM = 2;

VMtroughput = #[
	NF1 : 1000
	NF2 : 1000
	NF3 : 1000
]#;

 /*
Demands = {
   //id, src, dest, supply, NFC
   <  1,  0,   1,   195,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  2,  0,   2,   158,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  3,  0,   3,   174,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  4,  0,   4,   101,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  5,  0,   5,   198,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  6,  0,   6,   158,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  7,  0,   7,   182,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  8,  0,   8,   154,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  9,  0,   9,   175,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  10, 0,   10,  122,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  11, 0,   11,  114,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  12, 1,   2,   179,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  13, 1,   3,   117,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  14, 1,   4,   105,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  15, 1,   5,   159,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  16, 1,   6,   198,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  17, 1,   7,   189,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  18, 1,   8,   166,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  19, 1,   9,   142,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  20, 1,   10,  137,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  21, 1,   11,  163,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  22, 2,   3,   131,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  23, 2,   4,   159,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  24, 2,   5,   164,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  25, 2,   6,   128,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  26, 2,   7,   195,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  27, 2,   8,   130,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  28, 2,   9,   105,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  29, 2,   10,  173,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  30, 2,   11,  157,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  31, 3,   4,   194,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  32, 3,   5,   125,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  33, 3,   6,   110,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  34, 3,   7,   132,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  35, 3,   8,   159,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  36, 3,   9,   109,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  37, 3,   10,  126,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  38, 3,   11,  100,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  39, 4,   5,   124,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  40, 4,   6,   106,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  41, 4,   7,   136,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  42, 4,   8,   144,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  43, 4,   9,   168,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  44, 4,   10,  119,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  45, 4,   11,  127,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  46, 5,   6,   105,  #[NF1:1 NF2:2 NF3:3 ]#  >,
   <  47, 5,   7,   147,  #[NF1:1 NF2:2 NF3:3 ]#  >,
